Title line: Populacoes de Brycon amazonicus
Locus_1
Locus_2
Locus_3
Locus_4
Locus_5
Locus_6
Locus_7
Locus_8
Locus_9
Locus_10
Pop
NOL221 ,  188188 151151 194196 218226 226238 150156 149157 190196 160178 205205
NOL222 ,  188194 151151 194196 230236 232236 150158 157157 198198 170170 207209
NOL223 ,  200200 121121 194194 218218 228240 146146 169169 198208 148148 203213
NOL224 ,  188194 147153 196200 226228 226232 142148 149169 190196 170176 207207
NOL225 ,  192200 121135 198198 226230 226238 146154 149157 198198 148160 185201
NOL226 ,  196196 119121 190190 206206 228232 154156 149149 196202 146148 205207
NOL227 ,  186186 119149 200200 226228 224236 146148 157157 202208 146172 207207
NOL228 ,  188200 121145 200200 234234 224228 154154 149157 202202 148168 205207
NOL229 ,  196196 119121 198202 228228 226236 148150 157157 196198 146148 205207
Pop
MAN230 ,  188192 121153 194196 228228 224236 142142 169169 190190 148176 203207
MAN231 ,  188194 119121 194198 216218 228232 148154 161161 198198 146148 207213
MAN232 ,  200210 119143 198198 218226 228228 154154 157157 190196 146166 199203
MAN233 ,  194194 123147 198200 228228 228264 150156 157157 190198 150170 185213
MAN234 ,  198198 143147 198200 226226 228238 142142 157157 202202 168172 205205
MAN235 ,  194200 119121 196200 218228 224244 142148 157169 198208 148168 185203
MAN236 ,  196196 143153 200202 218226 228240 154154 157157 190196 166176 207207
MAN237 ,  186190 153155 194198 226236 226228 154156 149149 190198 176178 185185
MAN238 ,  200200 119145 200204 226226 228242 142158 161169 190190 146168 185203
MAN239 ,  202202 119121 194194 216232 240240 154154 149149 190204 146148 213213
MAN240 ,  186196 119123 196196 228228 224232 142148 161165 196196 146150 185203
MAN241 ,  182200 119139 194194 226226 224232 150154 157157 202202 146164 185185
Pop
HUM55 ,  210210 119143 200200 228232 228228 150154 149157 196198 148168 185185
HUM56 ,  198198 119143 202202 232232 228238 142150 161161 196198 166166 185203
HUM57 ,  196196 121121 196198 218218 228238 142152 149157 190202 148148 197207
HUM58 ,  188200 119121 198204 228228 228238 154154 000000 190190 146148 207207
HUM59 ,  186200 119143 202204 216228 224228 142146 000000 196202 148168 185207
HUM60 ,  196196 121123 192196 216216 228228 142150 149157 190196 148148 183185
HUM61 ,  200200 119121 198198 218228 244244 150156 149157 188196 148150 183185
HUM62 ,  198198 119121 196196 228236 228228 142156 149157 190206 148176 185185
