otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,waterBody,eventDate,locality,recordedBy,associatedSequences
14474,46320,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752225
15231,56750,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Andrade, M.",-9.77827,-59.39833,Brazil,Mato Grosso,Aripuanã,2014-12-09,Confluencia do rio Branco com Aripuanã - MT,Valeria Machado,MG752238
15246,54774,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.68763,-59.95036,Brazil,Amazonas,Madeira,2014-12-22,"lago do Tracajá, Paraná do Mamori, interfluvio Purus - Madeira",Valeria Machado,MG752239
15247,54774,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.68763,-59.95036,Brazil,Amazonas,Madeira,2014-12-22,"lago do Tracajá, Paraná do Mamori, interfluvio Purus - Madeira",Valeria Machado,MG752240
15249,54773,INPA,ICT,PreservedSpecimen,Holotype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.68763,-59.95036,Brazil,Amazonas,Madeira,2014-12-22,"lago do Tracajá, Paraná do Mamori, interfluvio Purus - Madeira",Valeria Machado,MG752242
15393,23446,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-5.6295277778,-57.25313,Brazil,Pará,Tapajós,2015-10-10,localidade 3 rio Tapajós,Valeria Machado,MG752246
15401,23446,INPA,ICT,PreservedSpecimen,Paratype,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-5.6295277778,-57.25313,Brazil,Pará,Tapajós,2015-10-11,localidade 3 rio Tapajós,Valeria Machado,MG752249
14071,23438,INPA,ICT,PreservedSpecimen,Other material,Myloplus rhomboidalis (Cuvier 1818),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Andrade, M.",2.79952,-60.66669,Brazil,Roraima,Branco,2013-10-16,enseada em frente Boa Vista rio Branco - RR,Valeria Machado,MG752334
12046,46277,INPA,ICT,PreservedSpecimen,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-0.96902,-61.90061,Brazil,Roraima,Branco,2013-02-17,Lago margem direita do rio Branco - RR,Valeria Machado,MG752359
12103,46277,INPA,ICT,PreservedSpecimen,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-0.96902,-61.90061,Brazil,Roraima,Branco,2013-02-17,Lago margem direita do rio Branco - RR,Valeria Machado,MG752360
12105,46277,INPA,ICT,PreservedSpecimen,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Andrade, M.",-0.96902,-61.90061,Brazil,Roraima,Branco,2013-02-17,Lago margem direita do rio Branco - RR,Valeria Machado,MG752361
100443,37222,INPA,ICT,PreservedSpecimen,Other material,Myloplus aff. rubripinnis,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Bastos, D. | Ota, R.",-2.1754,-58.17393,Brazil,Amazonas,Jatapu,2011-09-28,Ressaca do Jatapu,"L. Rapp Py-Daniel, et al.",MG752363
11596,46299,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752376
11597,46299,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752377
11620,46299,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752378
11644,46299,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752380
11769,46299,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-28,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752384
11770,46299,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-28,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752385
12199,46280,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-1.06075,-61.85,Brazil,Roraima,Branco,2013-02-15,enseada no baixo rio Branco - RR,Valeria Machado,MG752387
12200,46280,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-1.06075,-61.85,Brazil,Roraima,Branco,2013-02-15,enseada no baixo rio Branco - RR,Valeria Machado,MG752388
12274,52507,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-0.94908,-62.92898,Brazil,Amazonas,Negro,2013-02-21,"rio Negro, prox de Barcelos",Valeria Machado,MG752389
14479,46311,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-1.69086,-57.42225,Brazil,Amazonas,Nhamundá,2013-11-22,Com. Barão - rio Nhamundá,Valeria Machado,MG752394
14526,46309,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-1.99678,-56.88378,Brazil,Amazonas,Nhamundá,2013-11-20,boca do rio Paratucu -Baixo rio Nhamundá,Valeria Machado,MG752395
14527,46309,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",-1.99678,-56.88378,Brazil,Amazonas,Nhamundá,2013-11-20,boca do rio Paratucu -Baixo rio Nhamundá,Valeria Machado,MG752396
14611,23398,INPA,ICT,PreservedSpecimen,Other material,Myloplus schomburgkii (Jardine 1841),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,schomburgkii,species,NA,"Machado, V.",1.39083,-61.65083,Brazil,Roraima,Branco,2013-12-11,rio Agua Boa do Univini,Valeria Machado,MG752398
11615,46302,INPA,ICT,PreservedSpecimen,Other material,Myloplus sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,sp. `Tapajós`,"Andrade, M.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752309
11616,46302,INPA,ICT,PreservedSpecimen,Other material,Myloplus sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,sp. `Tapajós`,"Andrade, M.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752310
53243,53243,INPA,ICT,PreservedSpecimen,Other material,Myloplus tiete (Eigenmann & Norris 1900),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,tiete,species,NA,"Ota, R.",-22.66667,-53.25,Brazil,Paraná,Paraná,2002-11-28,"Córrego Carucu, Porto Rico-PR",Valeria Machado,MG752405
PTG1318,23450,MPEG,ICT,PreservedSpecimen,Other material,"Tometes camunani Andrade, Giarrizzo & Jégu 2013",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,camunani,species,NA,"Andrade, M.",-0.77139,-56.8708,Brazil,Pará,Trombetas,NA,"Brasil, Pará, Oriximiná, Rio Trombetas, Enseada",Marcelo Andrade,MG752841
PTG1388,23445,MPEG,ICT,PreservedSpecimen,Other material,"Tometes camunani Andrade, Giarrizzo & Jégu 2013",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,camunani,species,NA,"Andrade, M.",-0.82722,-56.9578,Brazil,Pará,Trombetas,NA,"Brasil, Pará, Oriximiná, Rio Trombetas, Enseada",Marcelo Andrade,MG752842
310031,31003,MPEG,ICT,PreservedSpecimen,Paratype,"Tometes kranponhah Andrade, Jégu & Giarrizzo 2016",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,kranponhah,species,NA,"Andrade, M.",-3.66265,-51.5555,Brazil,Pará,Xingu,2011-07-27,"Brasil, Pará, Altamira, Rio Bacajá",Marcelo Andrade,KX868678
310032,31003,MPEG,ICT,PreservedSpecimen,Paratype,"Tometes kranponhah Andrade, Jégu & Giarrizzo 2016",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,kranponhah,species,NA,"Andrade, M.",-3.66265,-51.5555,Brazil,Pará,Xingu,2011-07-27,"Brasil, Pará, Altamira, Rio Bacajá",Marcelo Andrade,KX868679
310033,31003,MPEG,ICT,PreservedSpecimen,Paratype,"Tometes kranponhah Andrade, Jégu & Giarrizzo 2016",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,kranponhah,species,NA,"Andrade, M.",-3.66265,-51.5555,Brazil,Pará,Xingu,2011-07-27,"Brasil, Pará, Altamira, Rio Bacajá",Marcelo Andrade,KX868680
P29281,43077,INPA,ICT,PreservedSpecimen,Other material,"Tometes makue Jégu, Santos & Belmont-Jégu 2002",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,makue,species,NA,"Bastos, D.",-0.144,-67.08866,Brazil,Amazonas,Negro,2013-12-09,"cachoeira Buburi, rio Negro prox a São Gabriel da Cachoeira",Douglas Bastos,KX868697
201206,1945,GEA,NA,PreservedSpecimen,Other material,"Tometes siderocarajensis Andrade, Machado, Jégu, Farias & Giarrizzo 2017",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,siderocarajensis,species,NA,"Andrade, M.",-5.92908,-50.71738,Brazil,Pará,Tocantins,2011-06-01,"rio Itacaiunas, Parauapebas/PA",Marcelo Andrade,KX868674
1050301,1935,GEA,NA,PreservedSpecimen,Other material,"Tometes siderocarajensis Andrade, Machado, Jégu, Farias & Giarrizzo 2017",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,siderocarajensis,species,NA,"Andrade, M.",-5.84227,-50.44416,Brazil,Pará,Tocantins,2009-12-17,"rio Itacaiunas, Parauapebas/PA",Marcelo Andrade,MG752860
1050361,1935,GEA,NA,PreservedSpecimen,Other material,"Tometes siderocarajensis Andrade, Machado, Jégu, Farias & Giarrizzo 2017",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,siderocarajensis,species,NA,"Andrade, M.",-5.84227,-50.44416,Brazil,Pará,Tocantins,2009-12-17,"rio Itacaiunas, Parauapebas/PA",Marcelo Andrade,MG752861
1238787,1942,GEA,NA,PreservedSpecimen,Other material,"Tometes siderocarajensis Andrade, Machado, Jégu, Farias & Giarrizzo 2017",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,siderocarajensis,species,NA,"Andrade, M.",-5.84227,-50.44416,Brazil,Pará,Tocantins,2010-03-20,"rio Itacaiunas, Parauapebas/PA",Marcelo Andrade,KX868673
11556,46298,INPA,ICT,PreservedSpecimen,Other material,Tometes sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,NA,genus,sp. `Tapajós`,"Andrade, M.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-23,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752843
11557,46298,INPA,ICT,PreservedSpecimen,Other material,Tometes sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,NA,genus,sp. `Tapajós`,"Andrade, M.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-23,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752844
11595,46298,INPA,ICT,PreservedSpecimen,Other material,Tometes sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,NA,genus,sp. `Tapajós`,"Andrade, M.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-24,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752847
11614,46298,INPA,ICT,PreservedSpecimen,Other material,Tometes sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,NA,genus,sp. `Tapajós`,"Andrade, M.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752848
11619,46298,INPA,ICT,PreservedSpecimen,Other material,Tometes sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,NA,genus,sp. `Tapajós`,"Andrade, M.",-4.55244,-56.28869,Brazil,Pará,Tapajós,2012-11-25,rio Tapajós a montante das corredeiras de São Luis do Tapajós,Valeria Machado,MG752849
JAR126,4303,IEPA,NA,PreservedSpecimen,Other material,Tometes trilobatus Valenciennes 1850,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Tometes,trilobatus,species,NA,"Andrade, M.",-0.85555,-52.5391,Brazil,Amapá,Jari,2015-03-01,"Laranjal do Jari, UHE Santo Antônio do Jari, Amapá",Valeria Machado,KX868698
15212,23278,INPA,ICT,PreservedSpecimen,Other material,"Utiaritichthys longidorsalis Jégu, de Morais & Santos 1992",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Utiaritichthys,longidorsalis,species,NA,"Andrade, M.",-10.1695,-59.46619,Brazil,Mato Grosso,Aripuanã,2014-12-14,Montante da cachoeira de Dardanelos - MT,Valeria Machado,MG752862
15215,56737,INPA,ICT,PreservedSpecimen,Other material,"Utiaritichthys longidorsalis Jégu, de Morais & Santos 1992",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Utiaritichthys,longidorsalis,species,NA,"Andrade, M.",-10.1695,-59.46619,Brazil,Mato Grosso,Aripuanã,2014-12-14,Montante da cachoeira de Dardanelos - MT,Valeria Machado,MG752864
15219,56737,INPA,ICT,PreservedSpecimen,Other material,"Utiaritichthys longidorsalis Jégu, de Morais & Santos 1992",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Utiaritichthys,longidorsalis,species,NA,"Andrade, M.",-10.1695,-59.46619,Brazil,Mato Grosso,Aripuanã,2014-12-14,Montante da cachoeira de Dardanelos - MT,Valeria Machado,MG752865
2682,2682,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Machado, V.",-0.5435,-52.68033,Brazil,Amapá,Jari,2006-11-14,"Jari various locations upriver from Communidade Iratapuru, above the cachoeiras on the Jari",Valeria Machado,MN702885
2683,2683,UFAM,CTGA,MaterialSample,Other material,Myloplus arnoldi Ahl 1936,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,NA,"Machado, V.",-0.5435,-52.68033,Brazil,Amapá,Jari,2006-11-14,"Jari various locations upriver from Communidade Iratapuru, above the cachoeiras on the Jari",Valeria Machado,MN702886
16866,58915,INPA,ICT,PreservedSpecimen,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-4.819638,-66.84684,Brazil,Amazonas,Juruá,2018-03-01,"Lago Pauapixuna, Carauari",Valéria Machado,MN702887
15586,15586,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Bastos, D.",-0.989113,-62.8892,Brazil,Amazonas,Negro,2016-04-16,rio Negro near Barcelos city,Douglas Bastos,MN702888
17420,17420,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-2.85215,-66.94056,Brazil,Amazonas,Jutaí,2018-09-09,"Lago Copatana, rio Jutaí",Valéria Machado,MN702889
17308,17308,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",3.352163,-61.4572,Brazil,Roraima,Uraricoera,2018-11-03,"Furo Apuí, rio Uraricoera",Valéria Machado,MN702890
17492,58914,INPA,ICT,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-4.335762,-70.23235,Brazil,Amazonas,Javari,2018-10-27," North Watchtower, rio Javari, alto Solimões",Valéria Machado,MN702891
17493,58914,INPA,ICT,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-4.335762,-70.23235,Brazil,Amazonas,Javari,2018-10-27," North Watchtower, rio Javari, alto Solimões",Valéria Machado,MN702892
17494,58914,INPA,ICT,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-4.335762,-70.23235,Brazil,Amazonas,Javari,2018-10-27," North Watchtower, rio Javari, alto Solimões",Valéria Machado,MN702893
17414,17414,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-2.85215,-66.94056,Brazil,Amazonas,Jutaí,2018-09-09,"Lago Copatana, rio Jutaí",Valéria Machado,MN702894
17415,17415,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-2.85215,-66.94056,Brazil,Amazonas,Jutaí,2018-09-09,"Lago Copatana, rio Jutaí",Valéria Machado,MN702895
17416,17416,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-2.85215,-66.94056,Brazil,Amazonas,Jutaí,2018-09-09,"Lago Copatana, rio Jutaí",Valéria Machado,MN702896
17417,17417,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-2.85215,-66.94056,Brazil,Amazonas,Jutaí,2018-09-09,"Lago Copatana, rio Jutaí",Valéria Machado,MN702897
17418,17418,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-2.85215,-66.94056,Brazil,Amazonas,Jutaí,2018-09-09,"Lago Copatana, rio Jutaí",Valéria Machado,MN702898
17419,17419,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-2.85215,-66.94056,Brazil,Amazonas,Jutaí,2018-09-09,"Lago Copatana, rio Jutaí",Valéria Machado,MN702899
17421,17421,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-2.85215,-66.94056,Brazil,Amazonas,Jutaí,2018-09-09,"Lago Copatana, rio Jutaí",Valéria Machado,MN702900
16868,58915,INPA,ICT,PreservedSpecimen,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-4.819638,-66.84684,Brazil,Amazonas,Juruá,2018-03-01,"Lago Pauapixuna, Carauari",Valéria Machado,MN702901
16869,58915,INPA,ICT,PreservedSpecimen,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-4.819638,-66.84684,Brazil,Amazonas,Juruá,2018-03-01,"Lago Pauapixuna, Carauari",Valéria Machado,MN702902
16865,58915,INPA,ICT,PreservedSpecimen,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-4.819638,-66.84684,Brazil,Amazonas,Juruá,2018-03-01,"Lago Pauapixuna, Carauari",Valéria Machado,MN702903
15580,15580,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-0.989113,-62.8892,Brazil,Amazonas,Negro,2016-04-14,rio Negro near Barcelos city,Douglas Bastos,MN702904
17153,17153,UFAM,CTGA,MaterialSample,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",1.553389,-61.25744,Brazil,Roraima,Branco,2018-10-30,"Igarapé Ajaraní, ESEC Niquiá, rio Branco",Valéria Machado,MN702905
2152,2152,UFAM,CTGA,MaterialSample,Other material,Myloplus rhomboidalis Cuvier 1818,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,rhomboidalis,species,NA,"Machado, V.",-0.5435,-52.68033,Brazil,Amapá,Jari,2006-11-15,"Jari various locations upriver from Communidade Iratapuru, above the cachoeiras on the Jari",Valeria Machado,MN702906
16863,16863,UFAM,CTGA,MaterialSample,Other material,Myloplus sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. asterias,"Machado, V.",-4.819638,-66.84684,Brazil,Amazonas,Juruá,2018-03-01,"Lago Pauapixuna, Carauari",Valéria Machado,MN702907
16864,16864,UFAM,CTGA,MaterialSample,Other material,Myloplus sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. asterias,"Machado, V.",-4.819638,-66.84684,Brazil,Amazonas,Juruá,2018-03-01,"Lago Pauapixuna, Carauari",Valéria Machado,MN702908
16867,16867,UFAM,CTGA,MaterialSample,Other material,Myloplus sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. asterias,"Machado, V.",-4.819638,-66.84684,Brazil,Amazonas,Juruá,2018-03-01,"Lago Pauapixuna, Carauari",Valéria Machado,MN702909
17368,17368,UFAM,CTGA,MaterialSample,Other material,Myloplus sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",3.55374,-61.62419,Brazil,Roraima,Uraricoera,NA,Furo Santa Rosa,Valéria Machado,MN702910
17393,17393,UFAM,CTGA,MaterialSample,Other material,Myloplus sp.,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,NA,genus,aff. rubripinnis,"Machado, V.",3.55374,-61.62419,Brazil,Roraima,Uraricoera,NA,Furo Santa Rosa,Valéria Machado,MN702911
