otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,waterBody,eventDate,locality,recordedBy,associatedSequences
15167,56745,INPA,ICT,PreservedSpecimen,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,NA,"Andrade, M.",-10.16291,-59.44858,Brazil,Mato Grosso,Aripuanã,2014-12-12,Jusante da cachoeira de Dardanelos - MT,Valeria Machado,MG752234
15250,54774,INPA,ICT,PreservedSpecimen,Other material,"Myloplus nigrolineatus Ota, Machado, Collins, Andrade, Farias & Hrbek 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,NA,"Machado, V.",-3.68763,-59.95036,Brazil,Amazonas,Madeira,2014-12-22,"lago do Tracajá, Paraná do Mamori, interfluvio Purus - Madeira",Valeria Machado,MG752243
15394,23445,INPA,ICT,PreservedSpecimen,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,cf. asterias,"Machado, V.",-5.6295277778,-57.25313,Brazil,Pará,Tapajós,2015-10-10,localidade 3 rio Tapajós,Valeria Machado,MG752247
15395,23445,INPA,ICT,PreservedSpecimen,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,cf. asterias,"Machado, V.",-5.6295277778,-57.25313,Brazil,Pará,Tapajós,2015-10-10,localidade 3 rio Tapajós,Valeria Machado,MG752248
1050353,1050353,UFPA,NA,PreservedSpecimen,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,NA,"Andrade, M.",-6.567,-51.0325,Brazil,Para,Tocantins,NA,"Brasil, Pará, Ourilândia do Norte, Rio Cateté, Serra Onça-Puma",Marcelo Andrade,MG752251
1050355,1050355,UFPA,NA,PreservedSpecimen,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,NA,"Andrade, M.",-6.567,-51.0325,Brazil,Para,Tocantins,NA,"Brasil, Pará, Ourilândia do Norte, Rio Cateté, Serra Onça-Puma",Marcelo Andrade,MG752252
1050356,1050356,UFPA,NA,PreservedSpecimen,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,NA,"Andrade, M.",-6.567,-51.0325,Brazil,Para,Tocantins,NA,"Brasil, Pará, Ourilândia do Norte, Rio Cateté, Serra Onça-Puma",Marcelo Andrade,MG752253
1050357,1050357,UFPA,NA,PreservedSpecimen,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,NA,"Andrade, M.",-6.567,-51.0325,Brazil,Para,Tocantins,NA,"Brasil, Pará, Ourilândia do Norte, Rio Cateté, Serra Onça-Puma",Marcelo Andrade,MG752254
1050360,1050360,UFPA,NA,PreservedSpecimen,Other material,Myloplus asterias (Müller & Troschel 1844),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,asterias,species,NA,"Andrade, M.",-5.88555,-50.5319,Brazil,Para,Tocantins,NA,"Brasil, Pará, Parauapebas, Rio Itacaiúnas, Caldeirão",Marcelo Andrade,MG752255
14270,46318,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-1.83191,-57.0733,Brazil,Amazonas,Nhamundá,2013-11-20,Baixo rio Nhamundá,Valeria Machado,MG752259
14271,46318,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-1.83191,-57.0733,Brazil,Amazonas,Nhamundá,2013-11-20,Baixo rio Nhamundá,Valeria Machado,MG752260
14272,46318,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-1.83191,-57.0733,Brazil,Amazonas,Nhamundá,2013-11-20,Baixo rio Nhamundá,Valeria Machado,MG752261
14273,46318,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-1.83191,-57.0733,Brazil,Amazonas,Nhamundá,2013-11-20,Baixo rio Nhamundá,Valeria Machado,MG752262
14274,46318,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-1.83191,-57.0733,Brazil,Amazonas,Nhamundá,2013-11-20,Baixo rio Nhamundá,Valeria Machado,MG752263
14366,46319,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-1.67511,-57.47677,Brazil,Amazonas,Nhamundá,2013-11-24,Com. Chave - rio Nhamundá,Valeria Machado,MG752269
14367,46317,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-1.67511,-57.47677,Brazil,Amazonas,Nhamundá,2013-11-25,Com. Chave - rio Nhamundá,Valeria Machado,MG752270
14525,46308,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-1.99678,-56.88378,Brazil,Amazonas,Nhamundá,2013-11-25,boca do rio Paratucu -Baixo rio Nhamundá,Valeria Machado,MG752271
14899,56738,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-7.28883,-60.63611,Brazil,Amazonas,Aripuanã,2014-11-18,"Corredeira dos Periquitos, rio Aripuanã - AM",Valeria Machado,MG752272
14939,50867,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Machado, V.",-7.28883,-60.63611,Brazil,Amazonas,Aripuanã,2014-11-19,"Corredeira dos Periquitos, rio Aripuanã - AM",Valeria Machado,MG752276
14957,50867,INPA,ICT,PreservedSpecimen,Other material,Myloplus lobatus (Valenciennes 1850),Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,lobatus,species,NA,"Andrade, M.",-7.28883,-60.63611,Brazil,Amazonas,Aripuanã,2014-11-19,"Corredeira dos Periquitos, rio Aripuanã - AM",Valeria Machado,MG752279
