otherCatalogNumbers,CatalogNumbers,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,macroRegion,eventDate,locality,recordedBy,associatedSequences
CTGAH4505,CTGAH4505,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Peru,NA,southwestern Amazon,NA,NA,NA,CTGAH4505
CTGAH4246,CTGAH4246,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4246
CTGAH4247,CTGAH4247,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4247
CTGAH3236,CTGAH3236,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3236
CTGAH3238,CTGAH3238,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3238
CTGAH4344,CTGAH4344,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4344
CTGAH4506,CTGAH4506,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4506
CTGAH3491,CTGAH3491,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3491
CTGAH3494,CTGAH3494,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3494
CTGAH3495,CTGAH3495,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3495
CTGAH3527,CTGAH3527,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3527
CTGAH3531,CTGAH3531,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3531
CTGAH3528,CTGAH3528,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3528
CTGAH3526,CTGAH3526,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3526
CTGAH3524,CTGAH3524,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3524
CTGAH3521,CTGAH3521,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3521
CTGAH3520,CTGAH3520,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3520
CTGAH4248,CTGAH4248,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Venezuela,NA,Orinoco+Negro,NA,NA,NA,CTGAH4248
CTGAH4249,CTGAH4249,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Venezuela,NA,Orinoco+Negro,NA,NA,NA,CTGAH4249
CTGAH4259,CTGAH4259,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4259
CTGAH4260,CTGAH4260,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4260
CTGAH4262,CTGAH4262,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4262
CTGAH4263,CTGAH4263,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4263
CTGAH4267,CTGAH4267,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4267
CTGAH4364,CTGAH4364,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4364
CTGAH4365,CTGAH4365,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4365
CTGAH4380,CTGAH4380,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4380
CTGAH4300,CTGAH4300,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4300
CTGAH4302,CTGAH4302,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4302
CTGAH4303,CTGAH4303,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4303
CTGAH4304,CTGAH4304,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4304
